RUN	com.gatling.tests.ComputerDataBase	computerdatabase	1697836972879	Test Run 2	3.6.1
USER	ComputerDataBase	START	1697836974890
REQUEST		request_0	1697836974950	1697836975371	OK	 
REQUEST		bootstrap.min.css	1697836975605	1697836975716	OK	 
REQUEST		main.css	1697836975607	1697836975908	OK	 
REQUEST		request_1	1697836975609	1697836975917	OK	 
REQUEST		request_2	1697836975610	1697836975950	OK	 
REQUEST		request_3	1697837032974	1697837033078	OK	 
REQUEST		request_3 Redirect 1	1697837033101	1697837033206	OK	 
REQUEST		bootstrap.min.css	1697837033214	1697837033326	OK	 
REQUEST		main.css	1697837033216	1697837033332	OK	 
REQUEST		request_4	1697837033219	1697837033337	OK	 
REQUEST		request_5	1697837033220	1697837034320	OK	 
REQUEST		request_6	1697837045337	1697837045440	OK	 
REQUEST		main.css	1697837045446	1697837045544	OK	 
REQUEST		bootstrap.min.css	1697837045444	1697837045550	OK	 
USER	ComputerDataBase	END	1697837045559
